Pseudocode,1,"Declara una variable booleana llamada dronActivo e inicialízala a true.","var dronActivo: boolean; end var dronActivo := true;","Recuerda, primero declara (var end var) y luego inicializa"
C,1,"Declara e inicializa una variable char llamada categoriaDron a ""A"".","char categoriaDron = 'A';","Los caracteres se inicializan entre ' '"
Pseudocode,1,"Declara e inicializa una variable char llamada categoriaDron a ""A"".","var categoriaDron: character; end var character := 'A';'","Recuerda, primero declara y luego inicializa. Los caracteres se inicializan entre ' '"
C,1,"Lee el nombre del dron desde teclado usando scanf y guardalo en nombreDron.","scanf(""%s"", nombreDron);","El especificador de formato de string es %s"
Pseudocode,1,"Lee el nombre del dron desde teclado y guardalo en nombreDron.","nombreDron := readString();","Recuerda que cada tipo tiene una función de lectura que comienza por read. El formato es similar al de una inicialización."
C,1,"Lee el identificador del dron desde teclado usando scanf y guardalo en idDron.","scanf(""%d"", &idDron);","El especificador de formato de integer es %d"
Pseudocode,1,"Lee el identificador del dron desde teclado y guardalo en idDron.","idDron := readInteger();","Recuerda que cada tipo tiene una función de lectura que comienza por read. El formato es similar al de una inicialización."
C,1,"Lee el valor de la batería inicial desde teclado usando scanf y guárdalo en bateriaInicial.","scanf(""%f"", &bateriaInicial);","El especificador de formato de float es %f"
Pseudocode,1,"Lee el valor de la batería inicial desde teclado y guárdalo en bateriaInicial.","bateriaInicial := readReal();","Recuerda que cada tipo tiene una función de lectura que comienza por read. El formato es similar al de una inicialización."
C,1,"Lee un carácter del usuario desde teclado usando scanf y guárdalo en categoriaDron.","scanf("" %c"", &categoriaDron);","El especificador de formato de char es %c"
Pseudocode,1,"Lee un carácter del usuario desde teclado y guárdalo en categoriaDron.","categoriaDron := readCharacter();","Recuerda que cada tipo tiene una función de lectura que comienza por read. El formato es similar al de una inicialización."
C,1,"Imprime el nombre del dron y su identificador. Usa ""Dron: x, ID: x"" para la impresión, siendo ""x"" el especificador de formato","printf(""Dron: %s, ID: %d"", nombreDron, idDron);","Ejemplo de ejecución: ""Dron: dron001, ID: 1"""
C,1,"Imprime el nombre del dron y su identificador. Usa ""Dron: x, ID: x"" para la impresión, siendo ""x"" el valor pertinente","writeString(""Dron: ""); writeString(nombreDron); writeString(""ID: ""); writeInteger(idDron);","Ejemplo de ejecución: ""Dron: dron001, ID: 1"". Recuerda que en pseudocódigo no puedes imprimir mas de un dato por linea"

C,1,"Imprime la batería inicial del dron con un decimal. Usa ""Batería: x"" para la impresión, siendo ""x"" el especificador de formato","printf(""Batería: %.1f"", bateriaInicial);","Para imprimir cierto numero de decimales utiliza %.xf, siendo x el numero de decimales"
C,1,"Imprime la categoría del dron como carácter. Usa ""Categoría: x"" para la impresión, siendo ""x"" el especificador de formato","printf(""Categoría: %c"", categoriaDron);",""
C,1,"Declara un enumerado tDronEstado con los valores PARADO, EN_VUELO y ESTRELLADO.","typedef enum { PARADO, EN_VUELO, ESTRELLADO } tDronEstado;","la palabra reservada es typedef enum, recuerda poner ; a continuación del nombre del enum"
C,1,"Declara una variable tDronEstado llamada estado e inicialízala a EN_VUELO.","tDronEstado estado = EN_VUELO;",""
C,1,"Lee el valor del estado del dron desde teclado usando scanf y guárdalo en estado.","scanf(""%u"", &estado);","El especificador de formato para leer enumerativos es %u"
C,1,"Imprime el valor numérico del estado del dron con una explicación. Usa ""Estado (0=PARADO, 1=EN_VUELO, 2=ESTRELLADO): x"" para la impresión, siendo ""x"" el especificador de formato","printf(""Estado (0=PARADO, 1=EN_VUELO, 2=ESTRELLADO): %d"", estado);","Ejemplo de ejecución: ""Estado (0=PARADO, 1=EN_VUELO, 2=ESTRELLADO): 1"""
C,1,"Usa el operador ternario para imprimir ""En servicio"" si dronActivo es verdadero, si no imprime ""Fuera de servicio"".","printf(""%s"", dronActivo ? ""En servicio"" : ""Fuera de servicio"");","recuerda que printf acepta como argumento cualquier expresión que devuelva un valor, por eso podemos usar el operador ternario. Ejemplo: printf(""%s"", variable o condición ? """output1"" : ""output2"");"
C,1,"Incrementa la variable idDron en 1 usando el operador de incremento al finalizar la carrera.","idDron++;",""
C,1,"Resta 10.5 a la bateríaInicial usando operador compuesto.","bateriaInicial -= 10.5;",""
C,1,"Calcula si la batería es suficiente usando un operador relacional y guarda el resultado en en una variable booleana ""suficiente"". Diremos que la bateria es suficiente si tiene almenos un 20%","bool suficiente = bateriaInicial >= 20.0;","bateria mayor o igual a 20"
C,1,"Imprime ""Apto para siguiente ronda"" si suficiente es verdadero, si no imprime ""No apto"", usando ternario.","printf(""%s"", suficiente ? ""Apto para siguiente ronda"" : ""No apto"");",""
C,1,"Convierte bateriaInicial a entero y guárdalo en bateriaEntera.","int bateriaEntera = (int)bateriaInicial;","Recuerda que para castear una variable utilizas (tipo)variable"
C,1,"Convierte bateriaEntera otra vez a decimal y guárdalo en nuevaBateria.", "float nuevaBateria = (float)bateriaEntera;",""

C,2,"Declara un array de enteros llamado intArray de maximo 20 elementos", "int intArray[20];",""

C,3,"Declara un entero llamado numero y asignale el valor 5, luego haciendo uso de la estructura if, si el numero es 5 sumale 1 utilizando operador de incremento. En caso contrario restale 1 utilizando operador de decremento", "int numero = 5; if(numero == 5) { numero++;} else { numero--; }","Usa if else"
